0          References for Cross Section of OC36S       
Hattori 2011-Limao-Vieira 2015                                                               
0 Branching ratio for OC36S      Total       1 branch
Lambda  Total   CO/36S  
2664.5  6.67E-21  6.67E-21
2665  6.70E-21  6.70E-21
2665.5  6.76E-21  6.76E-21
2666  6.82E-21  6.82E-21
2666.5  6.88E-21  6.88E-21
2667  6.94E-21  6.94E-21
2667.5  7.00E-21  7.00E-21
2668  7.06E-21  7.06E-21
2668.5  7.12E-21  7.12E-21
2669  7.18E-21  7.18E-21
2669.5  7.24E-21  7.24E-21
2670  7.30E-21  7.30E-21
2670.5  7.27E-21  7.27E-21
2671  7.24E-21  7.24E-21
2671.5  7.21E-21  7.21E-21
2672  7.18E-21  7.18E-21
2672.5  7.15E-21  7.15E-21
2673  7.12E-21  7.12E-21
2673.5  7.09E-21  7.09E-21
2674  7.06E-21  7.06E-21
2674.5  7.03E-21  7.03E-21
2675  7.00E-21  7.00E-21
2675.5  6.90E-21  6.90E-21
2676  6.80E-21  6.80E-21
2676.5  6.70E-21  6.70E-21
2677  6.60E-21  6.60E-21
2677.5  6.50E-21  6.50E-21
2678  6.40E-21  6.40E-21
2678.5  6.30E-21  6.30E-21
2679  6.20E-21  6.20E-21
2679.5  6.10E-21  6.10E-21
2680  6.00E-21  6.00E-21
2680.5  5.97E-21  5.97E-21
2681  5.94E-21  5.94E-21
2681.5  5.91E-21  5.91E-21
2682  5.88E-21  5.88E-21
2682.5  5.85E-21  5.85E-21
2683  5.82E-21  5.82E-21
2683.5  5.79E-21  5.79E-21
2684  5.76E-21  5.76E-21
2684.5  5.73E-21  5.73E-21
2685  5.70E-21  5.70E-21
2685.5  5.67E-21  5.67E-21
2686  5.64E-21  5.64E-21
2686.5  5.61E-21  5.61E-21
2687  5.58E-21  5.58E-21
2687.5  5.55E-21  5.55E-21
2688  5.52E-21  5.52E-21
2688.5  5.49E-21  5.49E-21
2689  5.46E-21  5.46E-21
2689.5  5.43E-21  5.43E-21
2690  5.40E-21  5.40E-21
2690.5  5.39E-21  5.39E-21
2691  5.38E-21  5.38E-21
2691.5  5.37E-21  5.37E-21
2692  5.36E-21  5.36E-21
2692.5  5.35E-21  5.35E-21
2693  5.34E-21  5.34E-21
2693.5  5.33E-21  5.33E-21
2694  5.32E-21  5.32E-21
2694.5  5.31E-21  5.31E-21
2695  5.30E-21  5.30E-21
2695.5  5.21E-21  5.21E-21
2696  5.12E-21  5.12E-21
2696.5  5.03E-21  5.03E-21
2697  4.94E-21  4.94E-21
2697.5  4.85E-21  4.85E-21
2698  4.76E-21  4.76E-21
2698.5  4.67E-21  4.67E-21
2699  4.58E-21  4.58E-21
2699.5  4.49E-21  4.49E-21
2700  4.40E-21  4.40E-21
2700.5  4.45E-21  4.45E-21
2701  4.50E-21  4.50E-21
2701.5  4.55E-21  4.55E-21
2702  4.60E-21  4.60E-21
2702.5  4.65E-21  4.65E-21
2703  4.70E-21  4.70E-21
2703.5  4.75E-21  4.75E-21
2704  4.80E-21  4.80E-21
2704.5  4.85E-21  4.85E-21
2705  4.90E-21  4.90E-21
2705.5  4.87E-21  4.87E-21
2706  4.84E-21  4.84E-21
2706.5  4.81E-21  4.81E-21
2707  4.78E-21  4.78E-21
2707.5  4.75E-21  4.75E-21
2708  4.72E-21  4.72E-21
2708.5  4.69E-21  4.69E-21
2709  4.66E-21  4.66E-21
2709.5  4.63E-21  4.63E-21
2710  4.60E-21  4.60E-21
2710.5  4.55E-21  4.55E-21
2711  4.50E-21  4.50E-21
2711.5  4.45E-21  4.45E-21
2712  4.40E-21  4.40E-21
2712.5  4.35E-21  4.35E-21
2713  4.30E-21  4.30E-21
2713.5  4.25E-21  4.25E-21
2714  4.20E-21  4.20E-21
2714.5  4.15E-21  4.15E-21
2715  4.10E-21  4.10E-21
2715.5  4.11E-21  4.11E-21
2716  4.12E-21  4.12E-21
2716.5  4.13E-21  4.13E-21
2717  4.14E-21  4.14E-21
2717.5  4.15E-21  4.15E-21
2718  4.16E-21  4.16E-21
2718.5  4.17E-21  4.17E-21
2719  4.18E-21  4.18E-21
2719.5  4.19E-21  4.19E-21
2720  4.20E-21  4.20E-21
2720.5  4.29E-21  4.29E-21
2721  4.38E-21  4.38E-21
2721.5  4.47E-21  4.47E-21
2722  4.56E-21  4.56E-21
2722.5  4.65E-21  4.65E-21
2723  4.74E-21  4.74E-21
2723.5  4.83E-21  4.83E-21
2724  4.92E-21  4.92E-21
2724.5  5.01E-21  5.01E-21
2725  5.10E-21  5.10E-21
2725.5  5.11E-21  5.11E-21
2726  5.12E-21  5.12E-21
2726.5  5.13E-21  5.13E-21
2727  5.14E-21  5.14E-21
2727.5  5.15E-21  5.15E-21
2728  5.16E-21  5.16E-21
2728.5  5.17E-21  5.17E-21
2729  5.18E-21  5.18E-21
2729.5  5.19E-21  5.19E-21
2730  5.20E-21  5.20E-21
2730.5  5.23E-21  5.23E-21
2731  5.26E-21  5.26E-21
2731.5  5.29E-21  5.29E-21
2732  5.32E-21  5.32E-21
2732.5  5.35E-21  5.35E-21
2733  5.38E-21  5.38E-21
2733.5  5.41E-21  5.41E-21
2734  5.44E-21  5.44E-21
2734.5  5.47E-21  5.47E-21
2735  5.50E-21  5.50E-21
2735.5  5.48E-21  5.48E-21
2736  5.46E-21  5.46E-21
2736.5  5.44E-21  5.44E-21
2737  5.42E-21  5.42E-21
2737.5  5.40E-21  5.40E-21
2738  5.38E-21  5.38E-21
2738.5  5.36E-21  5.36E-21
2739  5.34E-21  5.34E-21
2739.5  5.32E-21  5.32E-21
2740  5.30E-21  5.30E-21
2740.5  5.27E-21  5.27E-21
2741  5.24E-21  5.24E-21
2741.5  5.21E-21  5.21E-21
2742  5.18E-21  5.18E-21
2742.5  5.15E-21  5.15E-21
2743  5.12E-21  5.12E-21
2743.5  5.09E-21  5.09E-21
2744  5.06E-21  5.06E-21
2744.5  5.03E-21  5.03E-21
2745  5.00E-21  5.00E-21
2745.5  5.01E-21  5.01E-21
2746  5.02E-21  5.02E-21
2746.5  5.03E-21  5.03E-21
2747  5.04E-21  5.04E-21
2747.5  5.05E-21  5.05E-21
2748  5.06E-21  5.06E-21
2748.5  5.07E-21  5.07E-21
2749  5.08E-21  5.08E-21
2749.5  5.09E-21  5.09E-21
2750  5.10E-21  5.10E-21
2750.5  5.14E-21  5.14E-21
2751  5.18E-21  5.18E-21
2751.5  5.22E-21  5.22E-21
2752  5.26E-21  5.26E-21
2752.5  5.30E-21  5.30E-21
2753  5.34E-21  5.34E-21
2753.5  5.38E-21  5.38E-21
2754  5.42E-21  5.42E-21
2754.5  5.46E-21  5.46E-21
2755  5.50E-21  5.50E-21
2755.5  5.45E-21  5.45E-21
2756  5.40E-21  5.40E-21
2756.5  5.35E-21  5.35E-21
2757  5.30E-21  5.30E-21
2757.5  5.25E-21  5.25E-21
2758  5.20E-21  5.20E-21
2758.5  5.15E-21  5.15E-21
2759  5.10E-21  5.10E-21
2759.5  5.05E-21  5.05E-21
2760  5.00E-21  5.00E-21
2760.5  5.11E-21  5.11E-21
2761  5.22E-21  5.22E-21
2761.5  5.33E-21  5.33E-21
2762  5.44E-21  5.44E-21
2762.5  5.55E-21  5.55E-21
2763  5.66E-21  5.66E-21
2763.5  5.77E-21  5.77E-21
2764  5.88E-21  5.88E-21
2764.5  5.99E-21  5.99E-21
2765  6.10E-21  6.10E-21
2765.5  6.02E-21  6.02E-21
2766  5.94E-21  5.94E-21
2766.5  5.86E-21  5.86E-21
2767  5.78E-21  5.78E-21
2767.5  5.70E-21  5.70E-21
2768  5.62E-21  5.62E-21
2768.5  5.54E-21  5.54E-21
2769  5.46E-21  5.46E-21
2769.5  5.38E-21  5.38E-21
2770  5.30E-21  5.30E-21
2770.5  5.35E-21  5.35E-21
2771  5.40E-21  5.40E-21
2771.5  5.45E-21  5.45E-21
2772  5.50E-21  5.50E-21
2772.5  5.55E-21  5.55E-21
2773  5.60E-21  5.60E-21
2773.5  5.65E-21  5.65E-21
2774  5.70E-21  5.70E-21
2774.5  5.75E-21  5.75E-21
2775  5.80E-21  5.80E-21
2775.5  5.76E-21  5.76E-21
2776  5.72E-21  5.72E-21
2776.5  5.68E-21  5.68E-21
2777  5.64E-21  5.64E-21
2777.5  5.60E-21  5.60E-21
2778  5.56E-21  5.56E-21
2778.5  5.52E-21  5.52E-21
2779  5.48E-21  5.48E-21
2779.5  5.44E-21  5.44E-21
2780  5.40E-21  5.40E-21
2780.5  5.39E-21  5.39E-21
2781  5.38E-21  5.38E-21
2781.5  5.37E-21  5.37E-21
2782  5.36E-21  5.36E-21
2782.5  5.35E-21  5.35E-21
2783  5.34E-21  5.34E-21
2783.5  5.33E-21  5.33E-21
2784  5.32E-21  5.32E-21
2784.5  5.31E-21  5.31E-21
2785  5.30E-21  5.30E-21
2785.5  5.46E-21  5.46E-21
2786  5.62E-21  5.62E-21
2786.5  5.78E-21  5.78E-21
2787  5.94E-21  5.94E-21
2787.5  6.10E-21  6.10E-21
2788  6.26E-21  6.26E-21
2788.5  6.42E-21  6.42E-21
2789  6.58E-21  6.58E-21
2789.5  6.74E-21  6.74E-21
2790  6.90E-21  6.90E-21
2790.5  6.78E-21  6.78E-21
2791  6.66E-21  6.66E-21
2791.5  6.54E-21  6.54E-21
2792  6.42E-21  6.42E-21
2792.5  6.30E-21  6.30E-21
2793  6.18E-21  6.18E-21
2793.5  6.06E-21  6.06E-21
2794  5.94E-21  5.94E-21
2794.5  5.82E-21  5.82E-21
2795  5.70E-21  5.70E-21
2795.5  5.68E-21  5.68E-21
2796  5.66E-21  5.66E-21
2796.5  5.64E-21  5.64E-21
2797  5.62E-21  5.62E-21
2797.5  5.60E-21  5.60E-21
2798  5.58E-21  5.58E-21
2798.5  5.56E-21  5.56E-21
2799  5.54E-21  5.54E-21
2799.5  5.52E-21  5.52E-21
2800  5.50E-21  5.50E-21
2800.5  5.49E-21  5.49E-21
2801  5.48E-21  5.48E-21
2801.5  5.47E-21  5.47E-21
2802  5.46E-21  5.46E-21
2802.5  5.45E-21  5.45E-21
2803  5.44E-21  5.44E-21
2803.5  5.43E-21  5.43E-21
2804  5.42E-21  5.42E-21
2804.5  5.41E-21  5.41E-21
2805  5.40E-21  5.40E-21
2805.5  5.39E-21  5.39E-21
2806  5.38E-21  5.38E-21
2806.5  5.37E-21  5.37E-21
2807  5.36E-21  5.36E-21
2807.5  5.35E-21  5.35E-21
2808  5.34E-21  5.34E-21
2808.5  5.33E-21  5.33E-21
2809  5.32E-21  5.32E-21
2809.5  5.31E-21  5.31E-21
2810  5.30E-21  5.30E-21
2810.5  5.25E-21  5.25E-21
2811  5.20E-21  5.20E-21
2811.5  5.15E-21  5.15E-21
2812  5.10E-21  5.10E-21
2812.5  5.05E-21  5.05E-21
2813  5.00E-21  5.00E-21
2813.5  4.95E-21  4.95E-21
2814  4.90E-21  4.90E-21
2814.5  4.85E-21  4.85E-21
2815  4.80E-21  4.80E-21
2815.5  4.91E-21  4.91E-21
2816  5.02E-21  5.02E-21
2816.5  5.13E-21  5.13E-21
2817  5.24E-21  5.24E-21
2817.5  5.35E-21  5.35E-21
2818  5.46E-21  5.46E-21
2818.5  5.57E-21  5.57E-21
2819  5.68E-21  5.68E-21
2819.5  5.79E-21  5.79E-21
2820  5.90E-21  5.90E-21
2820.5  5.81E-21  5.81E-21
2821  5.72E-21  5.72E-21
2821.5  5.63E-21  5.63E-21
2822  5.54E-21  5.54E-21
2822.5  5.45E-21  5.45E-21
2823  5.36E-21  5.36E-21
2823.5  5.27E-21  5.27E-21
2824  5.18E-21  5.18E-21
2824.5  5.09E-21  5.09E-21
2825  5.00E-21  5.00E-21
2825.5  4.96E-21  4.96E-21
2826  4.92E-21  4.92E-21
2826.5  4.88E-21  4.88E-21
2827  4.84E-21  4.84E-21
2827.5  4.80E-21  4.80E-21
2828  4.76E-21  4.76E-21
2828.5  4.72E-21  4.72E-21
2829  4.68E-21  4.68E-21
2829.5  4.64E-21  4.64E-21
2830  4.60E-21  4.60E-21
2830.5  4.54E-21  4.54E-21
2831  4.48E-21  4.48E-21
2831.5  4.42E-21  4.42E-21
2832  4.36E-21  4.36E-21
2832.5  4.30E-21  4.30E-21
2833  4.24E-21  4.24E-21
2833.5  4.18E-21  4.18E-21
2834  4.12E-21  4.12E-21
2834.5  4.06E-21  4.06E-21
2835  4.00E-21  4.00E-21
2835.5  3.89E-21  3.89E-21
2836  3.78E-21  3.78E-21
2836.5  3.67E-21  3.67E-21
2837  3.56E-21  3.56E-21
2837.5  3.45E-21  3.45E-21
2838  3.34E-21  3.34E-21
2838.5  3.23E-21  3.23E-21
2839  3.12E-21  3.12E-21
2839.5  3.01E-21  3.01E-21
2840  2.90E-21  2.90E-21
2840.5  3.08E-21  3.08E-21
2841  3.26E-21  3.26E-21
2841.5  3.44E-21  3.44E-21
2842  3.62E-21  3.62E-21
2842.5  3.80E-21  3.80E-21
2843  3.98E-21  3.98E-21
2843.5  4.16E-21  4.16E-21
2844  4.34E-21  4.34E-21
2844.5  4.52E-21  4.52E-21
2845  4.70E-21  4.70E-21
2845.5  4.70E-21  4.70E-21
2846  4.70E-21  4.70E-21
2846.5  4.70E-21  4.70E-21
2847  4.70E-21  4.70E-21
2847.5  4.70E-21  4.70E-21
2848  4.70E-21  4.70E-21
2848.5  4.70E-21  4.70E-21
2849  4.70E-21  4.70E-21
2849.5  4.70E-21  4.70E-21
2850  4.70E-21  4.70E-21
2850.5  4.62E-21  4.62E-21
2851  4.54E-21  4.54E-21
2851.5  4.46E-21  4.46E-21
2852  4.38E-21  4.38E-21
2852.5  4.30E-21  4.30E-21
2853  4.22E-21  4.22E-21
2853.5  4.14E-21  4.14E-21
2854  4.06E-21  4.06E-21
2854.5  3.98E-21  3.98E-21
2855  3.90E-21  3.90E-21
2855.5  4.00E-21  4.00E-21
2856  4.10E-21  4.10E-21
2856.5  4.20E-21  4.20E-21
2857  4.30E-21  4.30E-21
2857.5  4.40E-21  4.40E-21
2858  4.50E-21  4.50E-21
2858.5  4.60E-21  4.60E-21
2859  4.70E-21  4.70E-21
2859.5  4.80E-21  4.80E-21
2860  4.90E-21  4.90E-21
2860.5  4.87E-21  4.87E-21
2861  4.84E-21  4.84E-21
2861.5  4.81E-21  4.81E-21
2862  4.78E-21  4.78E-21
2862.5  4.75E-21  4.75E-21
2863  4.72E-21  4.72E-21
2863.5  4.69E-21  4.69E-21
2864  4.66E-21  4.66E-21
2864.5  4.63E-21  4.63E-21
2865  4.60E-21  4.60E-21
2865.5  4.50E-21  4.50E-21
2866  4.40E-21  4.40E-21
2866.5  4.30E-21  4.30E-21
2867  4.20E-21  4.20E-21
2867.5  4.10E-21  4.10E-21
2868  4.00E-21  4.00E-21
2868.5  3.90E-21  3.90E-21
2869  3.80E-21  3.80E-21
2869.5  3.70E-21  3.70E-21
2870  3.60E-21  3.60E-21
2870.5  3.57E-21  3.57E-21
2871  3.54E-21  3.54E-21
2871.5  3.51E-21  3.51E-21
2872  3.48E-21  3.48E-21
2872.5  3.45E-21  3.45E-21
2873  3.42E-21  3.42E-21
2873.5  3.39E-21  3.39E-21
2874  3.36E-21  3.36E-21
2874.5  3.33E-21  3.33E-21
2875  3.30E-21  3.30E-21
2875.5  3.41E-21  3.41E-21
2876  3.52E-21  3.52E-21
2876.5  3.63E-21  3.63E-21
2877  3.74E-21  3.74E-21
2877.5  3.85E-21  3.85E-21
2878  3.96E-21  3.96E-21
2878.5  4.07E-21  4.07E-21
2879  4.18E-21  4.18E-21
2879.5  4.29E-21  4.29E-21
2880  4.40E-21  4.40E-21
2880.5  4.50E-21  4.50E-21
2881  4.60E-21  4.60E-21
2881.5  4.70E-21  4.70E-21
2882  4.80E-21  4.80E-21
2882.5  4.90E-21  4.90E-21
2883  5.00E-21  5.00E-21
2883.5  5.10E-21  5.10E-21
2884  5.20E-21  5.20E-21
2884.5  5.30E-21  5.30E-21
2885  5.40E-21  5.40E-21
2885.5  5.37E-21  5.37E-21
2886  5.34E-21  5.34E-21
2886.5  5.31E-21  5.31E-21
2887  5.28E-21  5.28E-21
2887.5  5.25E-21  5.25E-21
2888  5.22E-21  5.22E-21
2888.5  5.19E-21  5.19E-21
2889  5.16E-21  5.16E-21
2889.5  5.13E-21  5.13E-21
2890  5.10E-21  5.10E-21
2890.5  5.16E-21  5.16E-21
2891  5.22E-21  5.22E-21
2891.5  5.28E-21  5.28E-21
2892  5.34E-21  5.34E-21
2892.5  5.40E-21  5.40E-21
2893  5.46E-21  5.46E-21
2893.5  5.52E-21  5.52E-21
2894  5.58E-21  5.58E-21
2894.5  5.64E-21  5.64E-21
2895  5.70E-21  5.70E-21
2895.5  5.75E-21  5.75E-21
2896  5.80E-21  5.80E-21
2896.5  5.85E-21  5.85E-21
2897  5.90E-21  5.90E-21
2897.5  5.95E-21  5.95E-21
2898  6.00E-21  6.00E-21
2898.5  6.05E-21  6.05E-21
2899  6.10E-21  6.10E-21
2899.5  6.15E-21  6.15E-21
2900  6.20E-21  6.20E-21
2900.5  6.30E-21  6.30E-21
2901  6.40E-21  6.40E-21
2901.5  6.50E-21  6.50E-21
2902  6.60E-21  6.60E-21
2902.5  6.70E-21  6.70E-21
2903  6.80E-21  6.80E-21
2903.5  6.90E-21  6.90E-21
2904  7.00E-21  7.00E-21
2904.5  7.10E-21  7.10E-21
2905  7.20E-21  7.20E-21
2905.5  7.19E-21  7.19E-21
2906  7.18E-21  7.18E-21
2906.5  7.17E-21  7.17E-21
2907  7.16E-21  7.16E-21
2907.5  7.15E-21  7.15E-21
2908  7.14E-21  7.14E-21
2908.5  7.13E-21  7.13E-21
2909  7.12E-21  7.12E-21
2909.5  7.11E-21  7.11E-21
2910  7.10E-21  7.10E-21
2910.5  7.07E-21  7.07E-21
2911  7.04E-21  7.04E-21
2911.5  7.01E-21  7.01E-21
2912  6.98E-21  6.98E-21
2912.5  6.95E-21  6.95E-21
2913  6.92E-21  6.92E-21
2913.5  6.89E-21  6.89E-21
2914  6.86E-21  6.86E-21
2914.5  6.83E-21  6.83E-21
2915  6.80E-21  6.80E-21
2915.5  6.86E-21  6.86E-21
2916  6.92E-21  6.92E-21
2916.5  6.98E-21  6.98E-21
2917  7.04E-21  7.04E-21
2917.5  7.10E-21  7.10E-21
2918  7.16E-21  7.16E-21
2918.5  7.22E-21  7.22E-21
2919  7.28E-21  7.28E-21
2919.5  7.34E-21  7.34E-21
2920  7.40E-21  7.40E-21
2920.5  7.42E-21  7.42E-21
2921  7.44E-21  7.44E-21
2921.5  7.46E-21  7.46E-21
2922  7.48E-21  7.48E-21
2922.5  7.50E-21  7.50E-21
2923  7.52E-21  7.52E-21
2923.5  7.54E-21  7.54E-21
2924  7.56E-21  7.56E-21
2924.5  7.58E-21  7.58E-21
2925  7.60E-21  7.60E-21
2925.5  7.64E-21  7.64E-21
2926  7.68E-21  7.68E-21
2926.5  7.72E-21  7.72E-21
2927  7.76E-21  7.76E-21
2927.5  7.80E-21  7.80E-21
2928  7.84E-21  7.84E-21
2928.5  7.88E-21  7.88E-21
2929  7.92E-21  7.92E-21
2929.5  7.96E-21  7.96E-21
2930  8.00E-21  8.00E-21
2930.5  7.90E-21  7.90E-21
2931  7.80E-21  7.80E-21
2931.5  7.70E-21  7.70E-21
2932  7.60E-21  7.60E-21
2932.5  7.50E-21  7.50E-21
2933  7.40E-21  7.40E-21
2933.5  7.30E-21  7.30E-21
2934  7.20E-21  7.20E-21
2934.5  7.10E-21  7.10E-21
2935  7.00E-21  7.00E-21
2935.5  7.00E-21  7.00E-21
2936  7.00E-21  7.00E-21
2936.5  7.00E-21  7.00E-21
2937  7.00E-21  7.00E-21
2937.5  7.00E-21  7.00E-21
2938  7.00E-21  7.00E-21
2938.5  7.00E-21  7.00E-21
2939  7.00E-21  7.00E-21
2939.5  7.00E-21  7.00E-21
2940  7.00E-21  7.00E-21
2940.5  6.96E-21  6.96E-21
2941  6.92E-21  6.92E-21
2941.5  6.88E-21  6.88E-21
2942  6.84E-21  6.84E-21
2942.5  6.80E-21  6.80E-21
2943  6.76E-21  6.76E-21
2943.5  6.72E-21  6.72E-21
2944  6.68E-21  6.68E-21
2944.5  6.64E-21  6.64E-21
2945  6.60E-21  6.60E-21
2945.5  6.65E-21  6.65E-21
2946  6.70E-21  6.70E-21
2946.5  6.75E-21  6.75E-21
2947  6.80E-21  6.80E-21
2947.5  6.85E-21  6.85E-21
2948  6.90E-21  6.90E-21
2948.5  6.95E-21  6.95E-21
2949  7.00E-21  7.00E-21
2949.5  7.05E-21  7.05E-21
2950  7.10E-21  7.10E-21
2950.5  7.21E-21  7.21E-21
2951  7.32E-21  7.32E-21
2951.5  7.43E-21  7.43E-21
2952  7.54E-21  7.54E-21
2952.5  7.65E-21  7.65E-21
2953  7.76E-21  7.76E-21
2953.5  7.87E-21  7.87E-21
2954  7.98E-21  7.98E-21
2954.5  8.09E-21  8.09E-21
2955  8.20E-21  8.20E-21
2955.5  8.15E-21  8.15E-21
2956  8.10E-21  8.10E-21
2956.5  8.05E-21  8.05E-21
2957  8.00E-21  8.00E-21
2957.5  7.95E-21  7.95E-21
2958  7.90E-21  7.90E-21
2958.5  7.85E-21  7.85E-21
2959  7.80E-21  7.80E-21
2959.5  7.75E-21  7.75E-21
2960  7.70E-21  7.70E-21
2960.5  7.80E-21  7.80E-21
2961  7.90E-21  7.90E-21
2961.5  8.00E-21  8.00E-21
2962  8.10E-21  8.10E-21
2962.5  8.20E-21  8.20E-21
2963  8.30E-21  8.30E-21
2963.5  8.40E-21  8.40E-21
2964  8.50E-21  8.50E-21
2964.5  8.60E-21  8.60E-21
2965  8.70E-21  8.70E-21
2965.5  8.56E-21  8.56E-21
2966  8.42E-21  8.42E-21
2966.5  8.28E-21  8.28E-21
2967  8.14E-21  8.14E-21
2967.5  8.00E-21  8.00E-21
2968  7.86E-21  7.86E-21
2968.5  7.72E-21  7.72E-21
2969  7.58E-21  7.58E-21
2969.5  7.44E-21  7.44E-21
2970  7.30E-21  7.30E-21
2970.5  6.82E-21  6.82E-21
2971  6.34E-21  6.34E-21
2971.5  5.86E-21  5.86E-21
2972  5.39E-21  5.39E-21
2972.5  4.91E-21  4.91E-21
2973  4.43E-21  4.43E-21
2973.5  3.95E-21  3.95E-21
2974  3.47E-21  3.47E-21
2974.5  2.99E-21  2.99E-21
2975  2.51E-21  2.51E-21
2975.5  2.62E-21  2.62E-21
2976  2.72E-21  2.72E-21
2976.5  2.82E-21  2.82E-21
2977  2.92E-21  2.92E-21
2977.5  3.02E-21  3.02E-21
2978  3.12E-21  3.12E-21
2978.5  3.23E-21  3.23E-21
2979  3.33E-21  3.33E-21
2979.5  3.43E-21  3.43E-21
2980  3.53E-21  3.53E-21
2980.5  3.52E-21  3.52E-21
2981  3.52E-21  3.52E-21
2981.5  3.51E-21  3.51E-21
2982  3.50E-21  3.50E-21
2982.5  3.49E-21  3.49E-21
2983  3.49E-21  3.49E-21
2983.5  3.48E-21  3.48E-21
2984  3.47E-21  3.47E-21
2984.5  3.46E-21  3.46E-21
2985  3.45E-21  3.45E-21
2985.5  3.33E-21  3.33E-21
2986  3.21E-21  3.21E-21
2986.5  3.09E-21  3.09E-21
2987  2.96E-21  2.96E-21
2987.5  2.84E-21  2.84E-21
2988  2.72E-21  2.72E-21
2988.5  2.59E-21  2.59E-21
2989  2.47E-21  2.47E-21
2989.5  2.35E-21  2.35E-21
2990  2.22E-21  2.22E-21
2990.5  2.21E-21  2.21E-21
2991  2.20E-21  2.20E-21
2991.5  2.19E-21  2.19E-21
2992  2.17E-21  2.17E-21
2992.5  2.16E-21  2.16E-21
2993  2.15E-21  2.15E-21
2993.5  2.13E-21  2.13E-21
2994  2.12E-21  2.12E-21
2994.5  2.11E-21  2.11E-21
2995  2.09E-21  2.09E-21
2995.5  2.13E-21  2.13E-21
2996  2.17E-21  2.17E-21
2996.5  2.21E-21  2.21E-21
2997  2.24E-21  2.24E-21
2997.5  2.28E-21  2.28E-21
2998  2.32E-21  2.32E-21
2998.5  2.36E-21  2.36E-21
2999  2.39E-21  2.39E-21
2999.5  2.43E-21  2.43E-21
3000  2.47E-21  2.47E-21
3000.5  2.53E-21  2.53E-21
3001  2.59E-21  2.59E-21
3001.5  2.64E-21  2.64E-21
3002  2.70E-21  2.70E-21
3002.5  2.76E-21  2.76E-21
3003  2.82E-21  2.82E-21
3003.5  2.88E-21  2.88E-21
3004  2.93E-21  2.93E-21
3004.5  2.99E-21  2.99E-21
3005  3.05E-21  3.05E-21
3005.5  2.97E-21  2.97E-21
3006  2.89E-21  2.89E-21
3006.5  2.81E-21  2.81E-21
3007  2.73E-21  2.73E-21
3007.5  2.65E-21  2.65E-21
3008  2.57E-21  2.57E-21
3008.5  2.49E-21  2.49E-21
3009  2.42E-21  2.42E-21
3009.5  2.34E-21  2.34E-21
3010  2.26E-21  2.26E-21
3010.5  2.27E-21  2.27E-21
3011  2.29E-21  2.29E-21
3011.5  2.31E-21  2.31E-21
3012  2.33E-21  2.33E-21
3012.5  2.34E-21  2.34E-21
3013  2.36E-21  2.36E-21
3013.5  2.38E-21  2.38E-21
3014  2.40E-21  2.40E-21
3014.5  2.41E-21  2.41E-21
3015  2.43E-21  2.43E-21
3015.5  2.41E-21  2.41E-21
3016  2.38E-21  2.38E-21
3016.5  2.36E-21  2.36E-21
3017  2.34E-21  2.34E-21
3017.5  2.31E-21  2.31E-21
3018  2.29E-21  2.29E-21
3018.5  2.27E-21  2.27E-21
3019  2.24E-21  2.24E-21
3019.5  2.22E-21  2.22E-21
3020  2.20E-21  2.20E-21
3020.5  2.24E-21  2.24E-21
3021  2.28E-21  2.28E-21
3021.5  2.33E-21  2.33E-21
3022  2.37E-21  2.37E-21
3022.5  2.41E-21  2.41E-21
3023  2.46E-21  2.46E-21
3023.5  2.50E-21  2.50E-21
3024  2.54E-21  2.54E-21
3024.5  2.59E-21  2.59E-21
3025  2.63E-21  2.63E-21
3025.5  2.43E-21  2.43E-21
3026  2.24E-21  2.24E-21
3026.5  2.05E-21  2.05E-21
3027  1.85E-21  1.85E-21
3027.5  1.66E-21  1.66E-21
3028  1.46E-21  1.46E-21
3028.5  1.27E-21  1.27E-21
3029  1.07E-21  1.07E-21
3029.5  8.77E-22  8.77E-22
3030  6.82E-22  6.82E-22
3030.5  7.57E-22  7.57E-22
3031  8.31E-22  8.31E-22
3031.5  9.05E-22  9.05E-22
3032  9.80E-22  9.80E-22
3032.5  1.05E-21  1.05E-21
3033  1.13E-21  1.13E-21
3033.5  1.20E-21  1.20E-21
3034  1.28E-21  1.28E-21
3034.5  1.35E-21  1.35E-21
3035  1.43E-21  1.43E-21
3035.5  1.31E-21  1.31E-21
3036  1.20E-21  1.20E-21
3036.5  1.09E-21  1.09E-21
3037  9.73E-22  9.73E-22
3037.5  8.60E-22  8.60E-22
3038  7.47E-22  7.47E-22
3038.5  6.34E-22  6.34E-22
3039  5.20E-22  5.20E-22
3039.5  4.07E-22  4.07E-22
3040  2.94E-22  2.94E-22
3040.5  3.06E-22  3.06E-22
3041  3.18E-22  3.18E-22
3041.5  3.30E-22  3.30E-22
3042  3.41E-22  3.41E-22
3042.5  3.53E-22  3.53E-22
3043  3.65E-22  3.65E-22
3043.5  3.77E-22  3.77E-22
3044  3.89E-22  3.89E-22
3044.5  4.00E-22  4.00E-22
3045  4.12E-22  4.12E-22
3045.5  3.82E-22  3.82E-22
3046  3.52E-22  3.52E-22
3046.5  3.22E-22  3.22E-22
3047  2.92E-22  2.92E-22
3047.5  2.61E-22  2.61E-22
3048  2.31E-22  2.31E-22
3048.5  2.01E-22  2.01E-22
3049  1.71E-22  1.71E-22
3049.5  1.41E-22  1.41E-22
3050  1.10E-22  1.10E-22
3050.5  1.81E-22  1.81E-22
